日期,N SAV,接电话人,时间,N° client,店名/公司名,cp,tel/wechat/来访,问题,处理人1,version,日期-机型,解决记录,处理时间,处理人2,结果,如果未能马上解决，补偿方法,处理时间,状态
06/03/2018,yu00000185,,,CR8218002,panda wok,82000,06 22 83 49 42,同一个ticket 出现两张单,,180229,20180227 chic,"需升级到0315版
同00000211",,,21/03 已升级 V20180315,,,1
07/03/2018,191,,,CR9418014,chang sheng,94210,06 13 56 81 57,"1. 已发过设置钱箱按钮视频，但是钱箱还是打不开
2. 10remise 分单就没有折扣，要自己算
3. 希望在点单界面加一列显示code
4. 第二块屏上门希望显示广告什么的，可以和显示价格切换",,,20180219 chic,"1.客人把钱箱线放在电脑上了
",,,ok,"2. 提交需求 97
3. 提交需求 98
4.提交需求 99",,1
07/03/2018,189,,,CM9718003,cjj,97470,06 92 16 27 78,不同的条码 扫除同一个商品 已发视频,,180124P,20180117 luxe shttle,专家已升级了软件,,,non 已提交bug0000212,,,1
07/03/2018,193,,,CR9218019,oki,92160,06 63 03 30 18,,,,20180217 neo,箭头就不动了，让客人拍视频，插鼠标试一下,,,non 死机,,,1
07/03/2018,190,,,CM9317002,city store,93,07 68 96 45 54,caisse2 打印显示不全,,,"20160930
quantun+软件","总是caisse2
专家：建议更换usb线 转崔",,,已换usb 测试后ok,,,1
07/03/2018,49,,,CR8617001,sushi kyo,86000,06 16 25 57 26,升级arcrestog后厨房单格式和以前的不一样，希望调试,,,"20171218
neo",已发现在arg的厨房单格式 等待客户确认,,,见 00000605,,,1
07/03/2018,00000638,,,CR7517023,唐记串串香,75011,06 73 00 85 01,客人希望厨房单和小票上显示中法文,,,"20171219
neo","1. 7/3已跟客人确认厨房单，客人希望把qte改成3位的，目前只显示两位------ok
2. 转王森约时间升级 arcresto g /已跟客人强调要提前并帐，客人说都是手帐给会计
3. cuisine all 需要用演示机的表单",,,表单cuisine all已替换 arcresto已升级到G  OK,,,1
07/03/2018,194,,,CR3418001,LE PHENIX,34420,06 46 04 28 24,经常卡机,,,20180129 luxe,12：04 已留言/  已跟客人解释如果点了两次软件，就会卡住，让客人注意 如出现类似问题希望拍视频,,,non 屏幕卡住,,,1
08/03/2018,195,,,CR9317008,afa,93300,,开机屏幕卡住了 客人只能拔掉电源,,,20180105 neo,已跟客人解释如果点了两次软件，就会卡住，让客人注意,,,non 屏幕卡住,,,1
08/03/2018,196,,,CM9317002,city store,93300,wechat,"结账反应慢，至少等10秒 已发视频
还是2号打印机，换了usb后不会漏打商品了，但是还是很慢 客人明天发视频",,,"20160930
quantun+软件",已转专家：更新系统到180315 ---转王森,,,已更新系统到180315,,,1
08/03/2018,197,,,CR9218009,Olimax ,92800,wechat 0626830283,卡机，每次都要重启，详见vedio,,,20180130 chic,已跟客人解释如果点了两次软件，就会卡住，让客人注意,,,non 屏幕反应很慢 应该是第二块屏导致的,,,1
08/03/2018,198,,,CR5418001,Natsu,54,0673828904,"1. 分单第二页翻不过去，很久前已经来电问过
2. arcresto emporter厨房单没有code ",,,"20180104
neo","1. 需升级0315     技术部最快会在3.15日出一个新的版本，如果解决此问题会和客人联系
2.已发厨房单 客人已确认   转王森换cuisine all表单",,,22/03 已升级 V20180315,,,1
08/03/2018,199,,,CR3818001,Royal D'Asie,38150,0651978575,"付钱时同一单同时弹出来两张ticket,详见图",,,"20180201
luxe","先让客人做个退货单，注意是不是一下点了两次对勾
给客人发avoir的视频

需升级到0315版",,,重复2ticketbug 已升级到180315,,,1
08/03/2018,200,,,CR2618002,Royal De drome,26,0652788158,外置键盘输入code时就卡机了,,,"20180201
luxe","""需更新软件到0315版本
客人周一或平时的下午3点钟有时间""",,,店里没线 有线时候打回来（21/03）等证书升级时一起升级,,,1
,,,,,,,,,,,,,,,,,,1
09/03/2018,202,,,CR9118013,Wok sushi/AU BONHEUR D ULIS SARL,91,0650243077,打印机不行，错误提示“print error”，WeChat有图,,,"20180228
luxe+neo",打印机接错口 打电话没接但留言了 客人微信说可以了（冬冬）,,,ok,,,1
09/03/2018,203,,,CM6817001,crocky bazzar,68124,0628680100,1. 按了打印，但系统反应非常慢，详见WeChat vedio  2. clodurer 弹出对话框如图，有没有问题？,,,"20180209
luxe","1. 见212
2. 902联网问题 让客人检查网络",,,"1. non 重复bug
2.                     13/06/2018已解决见00001014      ",,,1
09/03/2018,204,,,CR5918004,le panda ,59119,0646795655,ticket上TVA 20％里有个-5.5，怎么回事？详见短信图片,,,"20180219
luxe",16点未接留言.客人打回来。,,,ok,,,1
09/03/2018,205,,,CR7818015,Lotus Bleu,78520,0628526910,连称有问题，详见WeChat图片 转wangsen,,,"20180306
neo",让客人把连接线螺丝拧紧 可能是连接问题 有问题再打来,,,ok,,,1
09/03/2018,206,,,CR9317008,A Fa ,93300,0659812568,"按了打印键，但系统loading非常慢
等待客人视频",,,"20180105
neo",,,,,,,1
09/03/2018,207,,,CR5717008,buffet feves ,57,0625504232,pda 今天收到已跟客人说，客人说能不能下周四前修好，下周四有人去巴黎想让他带回来,,,"20171206
neo",已致电pda小哥 13/03 已取,,,,,,1
09/03/2018,208,,,CR7518014,花杞厨  LE BOURGEON,75009,0624672436,远程操作之后，就不能搭配地点单了，例如 饺子+plat 这样点，  2. 原本MENU每个菜后面都有编号的，现在都没了,,,"20180119
neo",12、13/03/2018 远程改一下厨房单。,,,表单已调 ok,,,1
09/03/2018,209,,,CM9317002,city store ,93300,0144021148/0768964554,2月系统算出来的账不对，详见WeChat图片,,,"20160930
quantun+软件",转给崔,,,打折和称称出的qte四舍五入,,,1
09/03/2018,210,,,CR0517001,Uni Wok,05000,0967306389,PDA没信号 之前天线关掉重启找到了信号 15/03客人又说找不到信号了,,,"20170929
neo","转wangsen
见0000261",,,,,,1
